RegionID,zipcode,City,State,Metro,CountyName,SizeRank,PctChangeLast6Mos,PctChangeYOY
90504,74730,Calera,OK,Durant,Bryan County,10809,0,0
66005,19551,Robesonia,PA,Reading,Berks County,11028,0,0
74098,37010,Adams,TN,Clarksville,Montgomery County,11229,0,0
63794,14871,Southport,NY,Elmira,Chemung County,11340,0,0
89924,73098,Wynnewood,OK,,Garvin County,11468,0,0
68077,24279,Pound,VA,Big Stone Gap,Wise County,11492,0,0
90267,74058,Pawnee,OK,Tulsa,Pawnee County,11694,0,0
84797,61063,Pecatonica,IL,Rockford,Winnebago County,11838,0,0
62543,12413,Cairo,NY,,Greene County,11874,0,0
87428,67045,Eureka,KS,,Greenwood County,11891,0,0
93019,79567,Winters,TX,,Runnels County,11907,0,0
65040,17344,McSherrystown,PA,Gettysburg,Adams County,11908,0,0
73842,36351,New Brockton,AL,Enterprise,Coffee County,11994,0,0
69004,26385,Lost Creek,WV,Clarksburg,Harrison County,12046,0,0
86953,65723,Pierce City,MO,,Lawrence County,12088,0,0
67793,23690,Yorktown,VA,Virginia Beach-Norfolk-Newport News,York County,12297,0,0
63101,13411,Pittsfield,NY,Oneonta,Otsego County,12332,0,0
63525,14435,Conesus,NY,Rochester,Livingston County,12399,0,0
84080,59474,Shelby,MT,,Toole County,12446,0,0
63713,14755,Little Valley,NY,Olean,Cattaraugus County,12770,0,0
90982,75571,Omaha,TX,,Morris County,12795,0,0
63699,14739,Friendship,NY,,Allegany County,12818,0,0
74753,38316,Bradford,TN,,Gibson County,12935,0,0
90013,73433,Elmore City,OK,,Garvin County,13132,0,0
76757,43569,Weston,OH,Toledo,Wood County,13211,0,0
87457,67104,Medicine Lodge,KS,,Barber County,13257,0,0
87739,67749,Oberlin,KS,,Decatur County,13262,0,0
73872,36453,Kinston,AL,Enterprise,Coffee County,13268,0,0
63844,15027,Conway,PA,Pittsburgh,Beaver County,13272,0,0
75085,38948,Oakland,MS,,Yalobusha County,13291,0,0
75163,39140,New Hebron,MS,,Lawrence County,13296,0,0
63695,14735,Fillmore,NY,,Allegany County,13325,0,0
92883,79245,Memphis,TX,,Hall County,13331,0,0
68913,26180,Parkersburg,WV,Parkersburg-Vienna,Wood County,13341,0,0
63744,14809,Avoca,NY,Corning,Steuben County,13353,0,0
84882,61284,Andalusia,IL,Davenport-Moline-Rock Island,Rock Island County,13535,0,0
69709,28091,Lilesville,NC,,Anson County,13606,0,0
88885,71051,Elm Grove,LA,Shreveport-Bossier City,Bossier Parish,13619,0,0
68024,24165,Spencer,VA,Martinsville,Henry County,13804,0,0
87647,67547,Kinsley,KS,,Edwards County,13943,0,0
90461,74561,Quinton,OK,McAlester,Pittsburg County,13962,0,0
80566,50864,Villisca,IA,,Montgomery County,14001,0,0
63417,14101,Machias,NY,Olean,Cattaraugus County,14071,0,0
63674,14711,Belfast,NY,,Allegany County,14218,0,0
92932,79370,Spur,TX,,Dickens County,14290,0,0
76685,43443,Luckey,OH,Toledo,Wood County,14305,0,0
62850,12937,Fort Covington,NY,Malone,Franklin County,14380,0,0
85526,62510,Assumption,IL,Taylorville,Christian County,14413,0,0
85216,61877,Sidney,IL,Champaign-Urbana,Champaign County,14464,0,0
89974,73151,Oklahoma City,OK,Oklahoma City,Oklahoma County,14624,0,0
76262,42170,Woodburn,KY,Bowling Green,Warren County,14654,0,0
65630,18915,Hatfield,PA,Philadelphia-Camden-Wilmington,Montgomery County,14705,0,0
80814,52049,Garnavillo,IA,,Clayton County,14717,0,0
74421,37688,Shady Valley,TN,,Johnson County,14783,0,0
87449,67070,Kiowa,KS,,Barber County,14861,0,0
98331,95636,Somerset,CA,Sacramento--Roseville--Arden-Arcade,El Dorado County,14896,0,0
81083,52728,Buffalo,IA,Davenport-Moline-Rock Island,Scott County,14929,0,0
60146,6090,Granby,CT,Hartford-West Hartford-East Hartford,Hartford County,14936,0,0
62164,11576,East Hills,NY,New York-Newark-Jersey City,Nassau County,8082,-0.002347418,0
61870,10573,Port Chester,NY,New York-Newark-Jersey City,Westchester County,2919,-0.003003003,0
97097,93021,Moorpark,CA,Oxnard-Thousand Oaks-Ventura,Ventura County,3363,-0.003076923,0
60753,7676,Washington,NJ,New York-Newark-Jersey City,Bergen County,9286,-0.003745318,0
